감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
3949.0,0.0091,0.0812,0.4,0.003,55.0,28.0
4578.0,0.0166,0.0803,0.48,0.0037,52.0,34.0
5940.0,0.016,0.0778,0.48,0.0034,52.0,32.0
4400.0,0.0156,0.0876,0.47,0.0035,61.0,32.0
2335.0,0.008,0.064,0.3,0.003,44.0,27.0
4241.0,0.018,0.0722,0.47,0.0036,54.0,31.0
3736.0,0.0205,0.072,0.46,0.0033,52.0,27.0
4704.0,0.0146,0.0811,0.43,0.0032,52.0,29.0
4375.0,0.0189,0.0804,0.52,0.0037,62.0,32.0
5707.0,0.0217,0.0642,0.44,0.0033,65.0,32.0
7386.0,0.0224,0.0721,0.47,0.0038,53.0,29.0
5186.0,0.041,0.058,0.55,0.0035,60.0,34.0
1074.0,0.0185,0.0576,0.46,0.003,53.0,30.0
1008.0,0.012,0.0447,0.38,0.0031,32.0,12.0
1838.0,0.0162,0.0408,0.36,0.0029,29.0,16.0
2554.0,0.0135,0.0443,0.38,0.0033,37.0,19.0
3030.0,0.017,0.042,0.33,0.0029,34.0,14.0
2915.0,0.016,0.0416,0.36968151147098516,0.0023,38.0,14.0
3302.0,0.0107,0.0456,0.36,0.0034,38.0,15.0
3917.0,0.0147,0.0427,0.33,0.0025,33.0,16.0
2315.0,0.0137,0.0458,0.37,0.0026,39.0,14.0
2531.0,0.0092,0.0486,0.35,0.0024,32.0,15.0
4530.0,0.0105,0.0451,0.62,0.0032,32.0,13.0
4175.0,0.0129,0.0465,0.35,0.0028,32.0,16.0
2694.0,0.0098,0.0484,0.46,0.0019,33.0,13.0
3298.0,0.006,0.0493,0.31,0.0027,31.0,11.0
4128.0,0.0102,0.0432,0.33,0.003,31.0,14.0
5298.0,0.0097,0.0437,0.34,0.0029,29.0,14.0
4146.0,0.0093,0.0522,0.34,0.0028,34.0,13.0
2038.0,0.0068,0.0429,0.29,0.0031,31.0,10.0
3565.0,0.0111,0.0421,0.37,0.0033,34.0,15.0
3526.0,0.0096,0.0502,0.36,0.003,32.0,10.0
4079.0,0.0112,0.0444,0.33,0.0029,30.0,15.0
4029.0,0.0111,0.0446,0.41,0.0033,41.0,15.0
4944.0,0.0155,0.0435,0.31,0.0031,61.0,14.0
6649.0,0.017,0.0439,0.36,0.0034,33.0,15.0
4576.0,0.0257,0.0452,0.41,0.0031,45.0,18.0
